Model,Accuracy,Precision,Recall,F1,ROC_AUC,Notes
Random baseline,0.49967123802367086,0.46383058470764615,0.5009614411496812,0.481681506349438,0.49964535912686536,random guesses
Brightness Logistic Regression,0.5359289874131129,0.0,0.0,0.0,0.5494951042637426,simple baseline using brightness only
TrafficLightCNN,0.9974325255181915,0.9963250306247448,0.9980910826288519,0.9972072747088073,0.9997377113740304,CNN on cropped red/green lights
