Model,MAE,RMSE,R2,MAPE
Linear Regression,0.017325640811441338,0.02459822360838439,0.9999995249679158,0.05369551114564795
Random Forest,0.13225667203665786,0.29928778745670803,0.9999296776388067,0.28450427514495125
